variable;distribution;lower;median;upper;unit;description;timestep;Erledigt
hail_damage_hailnet_tp1_tp2;tnorm_0_1;0.2;NA;0.5;%/100;"hoher Wert, da oft darauf zurückzuführen, dass es noch nicht geschlossen war; Expertenschätzung";4;x
hail_damage_hailnet_tp2_tp3;tnorm_0_1;0.01;NA;0.05;%/100;Expertenschätzung;2;x
hail_damage_hailnet_tp3_tp4;tnorm_0_1;0.02;NA;0.08;%/100;Expertenschätzung;3;x
hail_damage_hailnet_tp4_harvest;tnorm_0_1;0.02;NA;0.08;%/100;Expertenschätzung;4;x
hail_damage_tp1_tp2;tnorm_0_1;0.3;NA;0.7;%/100;Expertenschätzung;2;x
hail_damage_tp2_tp3;tnorm_0_1;0.1;NA;0.95;%/100;Expertenschätzung;2;x
hail_damage_tp3_tp4;tnorm_0_1;0.25;NA;0.99;%/100;Expertenschätzung, untere Grenze steigt wegen größerer Oberfläche;3;x
hail_damage_tp4_harvest;tnorm_0_1;0.25;NA;0.99;%/100;Expertenschätzung;4;x
hail_risk_hailnet_tp1_tp2;tnorm_0_1;0.01;NA;0.03;%/100;Expertenschätzung;4;x
hail_risk_hailnet_tp2_tp3;tnorm_0_1;0.01;NA;0.05;%/100;Expertenschätzung;2;x
hail_risk_hailnet_tp3_tp4;tnorm_0_1;0.02;NA;0.08;%/100;Expertenschätzung;3;x
hail_risk_hailnet_tp4_harvest;tnorm_0_1;0.01;NA;0.05;%/100;Expertenschätzung;4;x
hail_risk_tp1_tp2;tnorm_0_1;0.01;NA;0.1;%/100;Eigene und Expertenschätzung stimmten überein;2;x
hail_risk_tp2_tp3;tnorm_0_1;0.23;NA;0.65;%/100;kombinierte Verteilung;2;x
hail_risk_tp3_tp4;tnorm_0_1;0.22;NA;0.75;%/100;kombinierte Verteilung;3;x
hail_risk_tp4_harvest;tnorm_0_1;0.14;NA;0.48;%/100;kombinierte Verteilung;4;x
insect_damage_tp1_tp2;tnorm_0_1;0.05;NA;0.15;%/100;;1;
june_drop_increase_bad_seed_structure;posnorm;0.1;NA;0.2;%/100;Expertenschätzung;2;x
june_drop_increase_overbearing;posnorm;0.2;NA;0.3;%/100;;2;
june_drop_increase_stress_and_supply_problem;posnorm;0.1;NA;0.15;%/100;;2;
june_drop_rate;tnorm_0_1;0.06;NA;0.16;%/100;kombinierte Verteilung, nicht ganz mathematisch gerunded;2;x
manual_thinning_mistake;posnorm;1;NA;12;%;var_CV;3;
mechanical_damage_tp1_tp2;tnorm_0_1;0.01;NA;0.02;%/100;Expertenschätzung;1;x
mechanical_damage_tp2_tp3;tnorm_0_1;0.01;NA;0.05;%/100;Expertenschätzung;2;x
mechanical_damage_tp3_tp4;tnorm_0_1;0.01;NA;0.05;%/100;Expertenschätzung;3;x
mechanical_damage_tp4_harvest;tnorm_0_1;0.005;NA;0.025;%/100;Expertenschätzung;4;x
mechanical_risk_tp1_tp2;tnorm_0_1;0.4;NA;0.45;%/100;Expertenschätzung;1;x
mechanical_risk_tp2_tp3;tnorm_0_1;0.4;NA;0.45;%/100;Expertenschätzung;2;x
mechanical_risk_tp3_tp4;tnorm_0_1;0.4;NA;0.45;%/100;Expertenschätzung;3;x
mechanical_risk_tp4_harvest;tnorm_0_1;0.4;NA;0.45;%/100;Expertenschätzung;4;x
n_flowers_per_cluster;posnorm;4;NA;7;digit;Meist 5 bei Gala 6 bei GS66 (Frostbonitur 2023);1;
n_trees_per_ha_tp1;const;3125;NA;3125;trees/ha;;1;
n_trees_per_ha_tp2;const;3125;NA;3125;trees/ha;;2;
n_trees_per_ha_tp3;const;3125;NA;3125;trees/ha;;3;
n_trees_per_ha_tp4;const;3125;NA;3125;trees/ha;;4;
no_cold_nights_risk_tp4_harvest;tnorm_0_1;0.1;NA;0.25;%/100;;4;
other_fungal_diseases_damage_tp2_tp3;tnorm_0_1;0.05;NA;0.1;%/100;;2;
other_fungal_diseases_damage_tp3_tp4;tnorm_0_1;0.1;NA;0.3;%/100;;3;
other_fungal_diseases_damage_tp4_harvest;tnorm_0_1;0.005;NA;0.3;%/100;;4;
other_fungal_diseases_risk_tp2_tp3;tnorm_0_1;0.6;NA;0.8;%/100;;2;
other_fungal_diseases_risk_tp3_tp4;tnorm_0_1;0.6;NA;0.8;%/100;;3;
other_fungal_diseases_risk_tp4_harvest;tnorm_0_1;0.6;NA;0.8;%/100;;4;
other_insects_damage_tp2_tp3;tnorm_0_1;0.002;NA;0.01;%/100;;2;
other_insects_damage_tp3_tp4;tnorm_0_1;0.002;NA;0.01;%/100;;3;
other_insects_damage_tp4_harvest;tnorm_0_1;0.002;NA;0.01;%/100;;4;
other_insects_risk_tp2_tp3;tnorm_0_1;0.8;NA;0.9;%/100;;2;
other_insects_risk_tp3_tp4;tnorm_0_1;0.8;NA;0.9;%/100;;3;
